sortkey,name,createdat,enabled,approved,merchantcut,storetype
"STORE::fd8f6538-a246-4fc8-b179-ca40fccfbb25","PowerMassagerPros",2019-08-13 23:00:31.000000,true,true,0.25,"Sports & Fitness Equipment"
"STORE::780a27f2-578d-4455-818f-77b48453ffb9","ElectricSkatePark",2020-02-15 18:46:36.837000,true,true,0.20,"Sports & Fitness Equipment"
"STORE::661964ec-5d06-4dea-bbb2-56d3b9817a98","FitnessWareables",2019-11-18 20:36:57.000000,true,true,0.30,"Sports & Fitness Equipment"
"STORE::2798ad2f-a9cb-4ed0-b787-30ea6b2dfc2b","HomeSecurityMart",2019-09-25 19:57:26.000000,true,true,0.25,"Home Security"
"STORE::2399c6c4-23d6-4d10-8810-b294c8cb3359","SkateboardsUSA",2019-11-13 17:04:30.000000,true,true,0.30,"Sports & Fitness Equipment"
"STORE::cbc0b107-7112-4a84-9a5f-a1cfdcfcfdbd","Photos4Grandma",2019-11-26 06:25:53.000000,true,true,0.30,"Consumer Electronics"
"STORE::cbd9a3a0-8457-4bd9-abf6-5de6b62da6c2","CarStereoIsland",2019-09-19 17:50:36.000000,true,true,0.25,"Auto Parts & Electronics"
"STORE::a5e80a29-c6af-446f-b569-f021e697c48c","SecurityCamDirect",2019-11-01 17:46:13.000000,true,true,0.25,"Home Security"
"STORE::5dfad31f-9dc6-4e02-b8ba-ad59d42fa8d5","DroneWarehouse",2020-04-22 02:56:43.864000,true,true,0.35,"Consumer Electronics"
"STORE::682ad67e-92ae-4530-ba1b-36592eb9a9d7","RefurbPCLand",2020-01-02 16:19:59.221000,false,false,0.25,"Consumer Electronics"
"STORE::c18e4014-49ee-4f3d-8813-c7a9f2e407b9","DietTrackers",2020-04-16 21:00:40.719000,true,true,0.30,"Sports & Fitness Equipment"
"STORE::0d92cbe4-2d26-4c81-ae4e-7ace36b6700b","PowerWashersDirect",2020-03-17 17:46:59.140000,true,true,0.25,"Home and Garden"
"STORE::13863c72-0af2-4996-ae43-a4217292b826","RefurbPCLand",2020-02-02 16:55:39.681000,true,true,0.25,"Electronics"
"STORE::2e1df809-4f73-4943-9bde-49fdbeddb8fc","HVAC4U",2019-10-08 18:51:02.000000,true,true,0.35,"Home and Garden"
"STORE::446af1d1-22e5-41cb-bbb1-dc6e7ad970b4","SiiickHeadphones",2019-06-24 18:04:20.196000,true,true,0.25,"Consumer Electronics"
"STORE::d2d139d8-f36d-4183-bc9d-61353623036c","LuxuryWatchDepot",2019-10-17 01:00:40.000000,true,true,0.35,"Watches & Jewelry"
"STORE::fb650744-0bf1-4662-a98c-b7a35f5f540f","RefurbPCLand",2020-03-11 16:15:56.209000,true,false,0.25,"Consumer Electronics"
